publication_id,site,public_path,career_content_path,status,content_kind,work_type,notes
career/profile,career,/profile,profile/index.mdx,active,profile,,
career/resume,career,/cv,resume/index.mdx,active,resume,,
career/work/assistant,career,/detail/assistant,work/assistant/index.mdx,active,work,case-study,
career/work/codeb,career,/detail/codeb,work/codeb/index.mdx,active,work,project,
career/work/greent,career,/detail/greent,work/greent/index.mdx,active,work,project,
career/work/healthcasting,career,/detail/healthcasting,work/healthcasting/index.mdx,active,work,project,
career/work/inha-air,career,/detail/inha-air,work/inha-air/index.mdx,active,work,project,
career/work/inha-technical-college-and-academic-creditbank-system,career,/detail/inha-technical-college-and-academic-creditbank-system,work/inha-technical-college-and-academic-creditbank-system/index.mdx,active,work,case-study,
career/work/itc-work-scholarship,career,/detail/itc-work-scholarship,work/itc-work-scholarship/index.mdx,active,work,case-study,
career/work/kdt-addinedu,career,/detail/kdt-addinedu,work/kdt-addinedu/index.mdx,active,work,case-study,
career/work/open_source_contribution_academy,career,/detail/open_source_contribution_academy,work/open_source_contribution_academy/index.mdx,active,work,case-study,
career/work/pdf-to-question-bank,career,/detail/pdf-to-question-bank,work/pdf-to-question-bank/index.mdx,active,work,project,
career/work/pyodide,career,/detail/pyodide,work/pyodide/index.mdx,active,work,project,
career/work/rustpython,career,/detail/rustpython,work/rustpython/index.mdx,active,work,project,
career/work/shoepernoma,career,/detail/shoepernoma,work/shoepernoma/index.mdx,active,work,project,
career/work/skills-competition-cyber-security,career,/detail/skills-competition-cyber-security,work/skills-competition-cyber-security/index.mdx,active,work,case-study,
career/work/sungil-information-high-school,career,/detail/sungil-information-high-school,work/sungil-information-high-school/index.mdx,active,work,case-study,
career/work/stonespring,career,/detail/stonespring,work/stonespring/index.mdx,active,work,project,
career/work/usamo,career,/detail/usamo,work/usamo/index.mdx,active,work,case-study,
career/writing/career-positioning,career,/writing/career-positioning,writing/career-positioning.mdx,active,writing,,
